id,effectV2,effectV1
1,1d10 of caster's fingers turn to stone, Â½ of casterâ€™s body turns to stone
2,1d100 bees swarm harmlessly around the caster for several weeks, Â½ of casterâ€™s body turns to sodium: the other Â½ turns to ice
3,1d100 sparkling motes dance about the caster's head until dawn, random magic item within 30â€™ of caster explodes
4,1d100% of caster's body turns to iron for that many rounds, random normal item within 30â€™ of caster shrinks by 90%
5,1d12 ducklings identify the caster as their mother, metal statuettes fall to the ground near the caster
6,1d4 of caster's fingers move from his left hand to his right hand, 12â€™ iron statue of caster sprouts from ground within 60â€™ of him
7,1d4 of caster's limbs are as durable as steel, daisy grows from casterâ€™s head: may be pruned without harm
8,1d4 of caster's limbs are covered in fish scales, 1d10 of casterâ€™s fingers turn to steel
9,1d4 of caster's limbs are invisible, 1d10 sparrow eggs tumble from casterâ€™s mouth
10,1d8 of caster's primary orifices seal shut, 1d100 small: harmless holes appear in casterâ€™s body
11,3d10 harmless lumps as big as walnuts cover the caster's body, 1d100 young children claim to be the casterâ€™s offspring
12,3d10 quarts of olive oil pour from caster's ears, 1d1000 flies swarm from casterâ€™s mouth whenever he tells a lie
13,4d6 non-functioning eyes appear on the caster's face and head, 1d4 people of same race/opposite sex fall in love with caster
14,A 100 yard radius around caster's home is stripped of vegetation, 1d6 birds flutter about casterâ€™s head every time he is hit
15,A 2d6 foot radius around caster sinks as many feet into the earth, 1d6 rounds of booing and hisses echo if caster speaks his name
16,A basement's been installed in caster's home while he's been away, 1d6 rounds of dramatic music play when caster speaks his name
17,A close friend of the caster is an assassin hired to kill him, 1d8-1 bones teleport into caster; loses d12 HP per bone
18,A distant but powerful army declares war on the caster, 1d8-1 bones teleport out of caster; loses d10 HP per bone
19,A drop of the caster's blood can purify 1d4 gallons of water, 3d10 gazelles appear in the casterâ€™s home
20,A family of skunks has taken up residence in the caster's home, 4d8 of casterâ€™s teeth turn to gold
21,A fast-growing oak sprouts beneath the caster's home, hole penetrates casterâ€™s torso; caster remains unharmed
22,A foot-long steel bar runs completely through the caster's thigh, 8d4 of casterâ€™s teeth become sentient
23,A geyser temporarily erupts from one of the caster's pockets, A 1d100 feet deep opens beneath caster; DEX check or fall
24,A glowing orb hovers over caster's head while he's invisible, A cuckoo pops from casterâ€™s mouth 12 times like a clock
25,A great wind blows the caster 1d100 yards in a random direction, A false but real-looking map is tattooed on casterâ€™s skin
26,A group of necromancers take an interest in the caster's skeleton, A fountain springs up beneath casterâ€™s feet
27,A group of scholars think the caster's a visitor from the future, A framed 8x10 photograph of the caster drops at his feet
28,A hen's egg tumbles out of each of the caster's ears, A gaping hole forms under the caster whenever he says his name
29,A huge balloon shaped like the caster drifts past overhead, A glaze of frost coats casterâ€™s wounds
30,A kill-on-sight order has been issued for the caster kingdom-wide, A hand reaches down from the sky and snatches the caster away
31,A large haystack falls from the sky onto caster, A large cheese sculpture of the caster appears nearby
32,A large oak sprouts from one of the caster's pockets, A large granite hand rises from the earth to grasp the caster
33,A length of chain now runs completely through the caster's torso, A late-model Ford suddenly appears in casterâ€™s new driveway
34,A life-sized statue of caster appears nearby: made of cheese, A light bulb appears over casterâ€™s head when he casts a spell
35,A magical blast detonates at caster's location: but he's unharmed, A light rain falls on the caster when he casts a spell
36,A mound of snow falls onto caster and buries him up to his chest, A light rain falls on the caster when heâ€™s targeted by a spell
37,A page falls out of caster's spellbook each time it's opened, A rainbow springs from casterâ€™s head and follows him everywhere
38,A skeleton mimics caster: exactly duplicating his movements, A rattling sound is heard whenever caster shakes his head
39,A small fountain wells up in the caster's home, A red dragon believes it owes the caster a favor
40,A strong net falls from the sky and entangles the caster, A Red Dragon believes that caster is pursuing her
41,A swirl of rainbows accompanies any spell cast by caster, A red dragon believes the caster owes it a favor
42,A tornado picks caster up and deposits him atop the nearest house, A red dragon covets something the caster now possesses
43,After a horrifying tragedy: caster squanders the world's goodwill, A red light flashes atop casterâ€™s head for one turn
44,After each spell: a lighted cigar appears in caster's mouth, A small elemental appears wherever the caster spills blood
45,After each spell: a pebble falls from each of caster's ears, A small elemental appears wherever the casterâ€™s blood is spilt
46,After each spell: ants seem to course from the caster's eyes, A small mouse falls from casterâ€™s mouth when he speaks a lie
47,After each spell: caster accuses someone nearby of impropriety, A swarm of normal bees appears and attacks caster
48,After each spell: caster appears astonishingly ugly for 1d4 turns, A thick: foul-smelling discharge oozes from casterâ€™s ears
49,After each spell: caster appears to be decomposing, A wealthy investor wants to buy the casterâ€™s nervous system
50,After each spell: caster appears to be made of pure ice, Air cannot come within 10 feet of casterâ€™s principal weapon
51,After each spell: caster appears to be utterly insane, Air Elemental resides in casterâ€™s lungs; inhalation unnecessary
52,After each spell: caster applauds himself, All air between 1â€™ and 10â€™ of caster turns to iron
53,After each spell: caster begs someone nearby not to kill him, All air between 1â€™ and 10â€™ of caster turns to water
54,After each spell: caster berates someone standing nearby, All air between 1â€™ and 20â€™ of caster turns to fire
55,After each spell: caster briefly appears to be a rotting corpse, All air within 1â€™ of caster turns to chlorine gas
56,After each spell: caster briefly appears to be on fire, All allies appear identical to caster for d12 rounds
57,After each spell: caster briefly appears to bleed from his eyes, All allies appear identical to target for d4 rounds
58,After each spell: caster briefly looks like a photo negative, All architecture within 120â€™ of caster is leveled
59,After each spell: caster briefly seems to be of the opposite sex, All Bags of Holding within 120â€™ of caster dump their contents
60,After each spell: caster briefly sees fire all around him, All but 1 (player choice) of casterâ€™s attributes rerolled daily
61,After each spell: caster briefly thinks that he's choking, All but one of casterâ€™s attributes forever raised to 18
62,After each spell: caster can sense secret doors for 1d4 rounds, All but one of casterâ€™s attributes forever reduced to 3
63,After each spell: caster can't be magically healed for one hour, All casterâ€™s attribute scores are halved
64,After each spell: caster can't traverse a doorway for 1d10 rounds, All casterâ€™s attribute scores drop to equal his worst score
65,After each spell: caster dances like a honeybee, All casterâ€™s attribute scores rise to equal his best score
66,After each spell: caster experiences a burning sensation, All casterâ€™s attributes drop to 3
67,After each spell: caster feels ants crawling all over him, All casterâ€™s clothing not currently worn grows to 2X its size
68,After each spell: caster feels compelled to wash his hands, All casterâ€™s clothing not currently worn shrinks to Â½ its size
69,After each spell: caster feels completely alone and isolated, All casterâ€™s equipment turns to platinum
70,After each spell: caster feels distractingly hungry, All casterâ€™s gems become enchanted with Continual Light
71,After each spell: caster feels overwhelmingly dizzy, All casterâ€™s gold pieces turn to teeth
72,After each spell: caster feels transcendent euphoria, All casterâ€™s precious metal turns to soap
73,After each spell: caster forgets everyone's name for one hour, All clothing becomes invisible to caster
74,After each spell: caster forgets his name for one hour, All clothing touched by caster crumbles to dust
75,After each spell: caster glows with infernal radiance, All coins carried by caster are turned to lead
76,After each spell: caster growls like a rabid dog, All coins within 100 yards bear the casterâ€™s likeness
77,After each spell: caster has a brief vision of some distant land, All cooked meat seen by caster for 5 days randomly polymorphs
78,After each spell: caster has a strong craving for twigs and bark, All cooked meat seen by caster in next 5d20 days turns to liver
79,After each spell: caster is 5% likely to be stricken mute, All creatures viewed by caster look and sound identical
80,After each spell: caster is 25% likely to turn briefly invisible, All creatures within 100 yards Alter Self to appear as caster
81,After each spell: caster is 30% likely to lose his balance, All creatures within 100 yards Alter Self to appear as caster
82,After each spell: caster is 60% likely to flap his arms, All creatures within 100 yards ignore the caster for 1d4 rounds
83,After each spell: caster is afraid of his own name, All creatures within 90â€™ of caster have a singalong for 1 turn
84,After each spell: caster is as hairy as an ape for one hour, All enchantments/charms upon caster are dispelled
85,After each spell: caster is base AC zero for 1d4 rounds, All enemies appear identical to caster for d4 rounds
86,After each spell: caster is bathed in an otherworldly green light, All enemies within 15 feet of caster are turned to cast iron
87,After each spell: caster is blind in one eye for one hour, All external facial features of caster disappear
88,After each spell: caster is grief-stricken for 1d10 rounds, All fat in casterâ€™s body turns to water: nerve cells: etc.
89,After each spell: caster is hopelessly drunk for 1d4 rounds, All flesh on casterâ€™s face turns invisible when he smiles
90,After each spell: caster is immune to bludgeons for 1d4 rounds, All foes teleported d6 miles in random direction
91,After each spell: caster is immune to missile fire for one round, All foliage within 30â€™ of caster grows 3â€™
92,After each spell: caster is intensely magnetic for 1d8 rounds, All food and drink tastes utterly bland to the caster
93,After each spell: caster is matte black for 1d4 rounds, All free water within 120â€™ of caster turns to molasses
94,After each spell: caster is suddenly facing True North, All gems carried by caster are turned to ice
95,After each spell: caster is wracked by existential horror, All gems carried by caster combust
96,After each spell: caster looks like a cadaver for 1d4 rounds, All gold carried by caster becomes as hard as steel
97,After each spell: caster makes short: barking cries, All gold carried by caster increases in weight by 100X
98,After each spell: caster oozes sweet-smelling oil for 1d4 rounds, All gold carried by caster melts at 32Â° Fahrenheit
99,After each spell: caster polymorphs very briefly, All gold carried by caster turns to foolâ€™s gold
100,After each spell: caster reeks of alcohol for 2d6 rounds, All gold carried by caster turns to lead
101,After each spell: caster salivates copiously, All gold carried by caster turns to platinum
102,After each spell: caster seems withdrawn and despondent, All gold pieces carried by caster turn to goldfish
103,After each spell: caster shakes like a rag doll for 2d4 seconds, All ground within 60â€™ of caster is Greased: as spell
104,After each spell: caster shivers uncontrollably for 1d4 rounds, All ground within 60â€™ of caster turns to glass: 10â€™ deep
105,After each spell: caster shrinks by 10d10% for 1d4 rounds, All items carried by caster affected as by the spell Item
106,After each spell: caster shrinks by 50%, All items carried by caster affected as by There/Not There
107,After each spell: caster smells strongly of turpentine, All items carried by caster age 1000 years
108,After each spell: caster suffers brief visions of carnage, All items carried by caster appear in a single pocket
109,After each spell: caster suffers disorienting vertigo, All items carried by caster appear in someone elseâ€™s possession
110,After each spell: caster thinks that he's drowning, All items carried by caster are coveted by an outer plane being
111,After each spell: caster thinks that his clothes are on fire, All items carried by caster are encased in bone
112,After each spell: caster trumpets like an elephant, All items carried by caster are enchanted with Explosive Runes
113,After each spell: caster vanishes very briefly vanishes, All items carried by caster are immune to gravity for 1 turn
114,After each spell: caster's clothes age 1d100 years , All items carried by caster become copies of one item he bears
115,After each spell: caster's clothes billow with green smoke, All items carried by caster become highly flammable; Save -5
116,After each spell: caster's eyes briefly double in size, All items carried by caster become illusionary (10+d10 rounds)
117,After each spell: caster's face looks 50 years older, All items carried by caster become resistant to fire; Save +5
118,After each spell: caster's feet are covered with ash, All items carried by caster become weightless; may float away
119,After each spell: caster's hair grows two inches, All items carried by caster double in size
120,After each spell: caster's hands display classic stigmata, All items carried by caster double their apparent weight
121,After each spell: caster's hands steam wildly, All items carried by caster drop 3d100Â°
122,After each spell: caster's head turns 360Â° at the neck: unharmed, All items carried by caster enchanted with Continual Light
123,After each spell: caster's head turns invisible for 1d4 rounds, All items carried by caster exchange their apparent weights
124,After each spell: caster's heart pounds audibly, All items carried by caster fly 10 yards in random directions
125,After each spell: caster's left arm turns to stone for one hour, All items carried by caster halve their apparent weight
126,After each spell: caster's spellbook throbs with deep red light, All items carried by caster halve their size
127,After each spell: caster's Strength is halved for one hour, All items carried by caster lose all color; turn bland grey
128,After each spell: gravity briefly doubles for the caster, All items carried by caster polymorph into one random item
129,After each spell: he giggles for 1d4-1 rounds, All items carried by caster quadruple in apparent weight
130,After each spell: light shines from caster's mouth for 1d6 rounds, All items carried by caster sent to the Astral Plane
131,After each spell: small lumps of ice fall from caster's nostrils, All items carried by caster suddenly weigh as much as caster
132,After each spell: smoke hangs in the air about the caster, All items carried by caster teleport to his home
133,After each spell: stones near the caster glisten with slime, All items carried by caster tie into knots
134,After each spell: sunlight is painful to caster for 1d4 rounds, All items carried by caster triple their apparent weight
135,Alcohol has no effect upon the caster: but cheese is intoxicating, All items carried by caster turn invisible
136,All holy symbols within 100 yards bear the caster's image, All items carried by caster turn sentient and free-willed
137,All of caster's clothing is colored safety orange, All items carried by caster turn to flesh
138,All of caster's clothing is permanently moist, All items carried by caster turn to gold
139,All of caster's enemies with 100 yards vanish until dawn, All items carried by caster turn to granite
140,All of caster's fingers are as long as his middle finger, All items carried by caster turn to ice
141,All of caster's fingers are clear like glass, All items carried by caster turn to mercury
142,All of caster's fingers double in thickness, All items carried by caster turn to steam
143,All of caster's fingers migrate to one hand, All items carried by caster turn to water
144,All of caster's monetary wealth appears atop the nearest mountain, All items owned by caster teleport to him from his home
145,All of caster's monetary wealth is revealed to be counterfeit, All items owned by caster turn invisible
146,All of caster's possessions age 1d1000 years, All magic weapons within 30â€™ of caster vanish for 1d20 turns
147,All of caster's possessions are thrown 4d6 hours into the future, All matter within 60â€™ of caster becomes invisible for d4 rounds
148,All of caster's possessions have been seized by the government, All meat tastes blood-raw to the caster
149,All trees within 100 yards form into a tight circle around caster, All metal on or within caster turns to wood
150,All undead within 1d4 miles blame the caster for their undeath, All normal fires within 60â€™ of caster smell like burning tar
151,All undead within 1d4 miles race to the caster's current location, All of casterâ€™s clothing now bears his monogram
152,All vegetation now within 10 miles is highly toxic to caster, All plants and wildlife appear sickly to the caster
153,All vegetation now within 100 yards is invisible to caster, All rings worn by caster turn to string but retain properties
154,All who meet caster are 50% likely to think he smells like manure, All rocks larger than 1â€™ within 100â€™ of caster explode
155,All who meet caster are 60% likely to think he's a lycanthrope, All rodents within 2 miles will follow caster for d10 days
156,All who meet caster are 60% likely to think he's undead, All rope: string: etc. within 120â€™ of caster turns to licorice
157,All within 10 yards of caster are sprayed with viscous ectoplasm, All sorts of vile noises issue from the casterâ€™s stomach
158,All within 10 yards of caster attack him for 1d4 rounds, All spells caster has memorized are cast upon random targets
159,Alternating pages of caster's spellbook are indestructible, All spells caster has memorized strike him with reversed effect
160,An accurate illusion of caster copies his movements one mile away, All spells caster now has memorized allow no Saving Throws
161,An illusory statue of the caster stands at this spot for one year, All spells caster now has memorized are burned from his memory
162,An image of caster's beating heart hovers in the nearest doorway, All spells caster now has memorized cause half damage
163,An image of the caster's head hovers over his actual head, All spells caster now has memorized discharge on him
164,An image the of caster's beating heart hovers over his head, All spells caster now has memorized discharge on his boots
165,Any Abjurations currently affecting the caster are Dispelled, All spells used by caster take place 1d10 rounds after casting
166,Any armor that the caster is wearing right now shrinks by 80%, All ten of casterâ€™s fingers are now on his dominant hand
167,Any armor that the caster is wearing right now vanishes forever, All the bones disappear from the casterâ€™s hands and feet
168,Any arrow striking the caster disintegrates in 1d4 rounds, All trees within 100 yards of caster are turned to cast iron
169,Any arrow striking the caster inflicts equal damage on its archer, All trees within 30 feet of caster burst into flame
170,Any attack-based spell cast by caster is 10% likely to affect him, All trees within 60â€™ of caster uproot and walk away
171,Any attack-based spell cast by caster is delayed 1d4 rounds, All water between 1â€™ and 10â€™ of caster turns to fire
172,Any attempt to change shape locks the caster into that new shape, All water between 1â€™ and 100â€™ of caster turns to air
173,Any attempt to change shape makes the caster forget his true form, All water carried by caster boils: increasing volume by 1600X
174,Any attempt to change shape will age the caster 1d10 years, All weapons within 60â€™ of caster become ethereal for d8 rounds
175,Any attempt to change shape will be only partially successful, All weapons within 60â€™ of caster turn invisible for 1d4 turns
176,Any attempt to change shape will cause the caster to take root, All who see caster believe him to be a criminal
177,Any attempt to change shape will leave his feet unchanged, All who see caster believe him to be a harbinger of great ill
178,Any attempt to change shape will make the caster bald forever, All who see caster believe him to be a Lich
179,Any attempt to change shape will render the caster genderless, All who see caster believe him to be the avatar of a minor god
180,Any attempt to change shape will shrink the caster by 2d10%, All who see caster know him to be a spellcaster
181,Any attempt to change shape will teleport the caster 1d1000 miles, All within 10â€™ of caster receive benefit of a Heal spell
182,Any attempt to change shape will teleport the caster to this spot, All within 90â€™ of caster check INT or forget who the caster is
183,Any attempt to change shape will turn him into 2d12, All wood on or within caster turns to metal
184,Any attempt to change shape will turn the caster inside-out, All writing in casterâ€™s spellbook appears backward
185,Any attempt to change shape will turn the caster into a geranium, All writing in casterâ€™s spellbook turns blurry
186,Any attempt to change shape will turn the caster into a monkey, All writing in casterâ€™s spellbook turns invisible
187,Any attempt to change shape will turn the caster into a pelican, Alternating strips of caster rendered invisible for d8 rounds
